sample	r1_raw	r2_raw	r1_trimmed_paired	r2_trimmed_paired
sample2555	2004	2004	2004	2004
sample2035	2004	2004	2002	2002
sample2311	2004	2004	2002	2002
sample2823	2004	2004	2003	2003
sample2556	2004	2004	2004	2004
sample2036	2004	2004	2003	2003
sample2312	2004	2004	2004	2004
sample2824	2004	2004	2004	2004
sample2557	2004	2004	2003	2003
sample2037	2004	2004	2003	2003
sample2313	2004	2004	2004	2004
sample2825	2004	2004	2003	2003
sample2558	2004	2004	2003	2003
sample2314	2004	2004	2003	2003
sample2038	2004	2004	2004	2004
sample2826	2004	2004	2003	2003
sample2559	2004	2004	2004	2004
sample2315	2004	2004	2002	2002
sample2827	2004	2004	2003	2003
sample2039	2004	2004	2002	2002
sample2560	2004	2004	2003	2003
sample2316	2004	2004	2003	2003
sample2828	2004	2004	2004	2004
sample2040	2004	2004	2001	2001
sample2561	2004	2004	2002	2002
sample2317	2004	2004	2001	2001
sample2829	2004	2004	2002	2002
sample2041	2004	2004	2002	2002
sample2562	2004	2004	2002	2002
sample2318	2004	2004	2004	2004
sample2830	2004	2004	2003	2003
sample2563	2004	2004	2001	2001
sample2042	2004	2004	2003	2003
sample2831	2004	2004	2004	2004
sample2319	2004	2004	2004	2004
sample2564	2004	2004	2003	2003
sample2832	2004	2004	2003	2003
sample2320	2004	2004	2002	2002
sample2043	2004	2004	2002	2002
sample2565	2004	2004	2003	2003
sample2833	2004	2004	2004	2004
sample2321	2004	2004	2004	2004
sample2044	2004	2004	2004	2004
sample2834	2004	2004	2003	2003
sample2322	2004	2004	2003	2003
sample2566	2004	2004	2003	2003
sample2045	2004	2004	2003	2003
sample2835	2004	2004	2003	2003
sample2323	2004	2004	2002	2002
sample2567	2004	2004	2002	2002
sample2836	2004	2004	2002	2002
sample2324	2004	2004	2003	2003
sample2046	2004	2004	2003	2003
sample2568	2004	2004	2004	2004
sample2837	2004	2004	2002	2002
sample2325	2004	2004	2004	2004
sample2047	2004	2004	2003	2003
sample2569	2004	2004	2003	2003
sample2838	2004	2004	2002	2002
sample2326	2004	2004	2002	2002
sample2048	2004	2004	2004	2004
sample2570	2004	2004	2004	2004
sample2839	2004	2004	2003	2003
sample2327	2004	2004	2004	2004
sample2049	2004	2004	2004	2004
sample2571	2004	2004	2002	2002
sample2840	2004	2004	2002	2002
sample2328	2004	2004	2004	2004
sample2050	2004	2004	2004	2004
sample2945	2004	2004	2004	2004
sample2572	2004	2004	2002	2002
sample3457	2004	2004	2003	2003
sample2841	2004	2004	2004	2004
sample2329	2004	2004	2004	2004
sample3713	2004	2004	2004	2004
sample3201	2004	2004	2002	2002
sample2051	2004	2004	2003	2003
sample2573	2004	2004	2004	2004
sample2330	2004	2004	2004	2004
sample2842	2004	2004	2004	2004
sample2946	2004	2004	2004	2004
sample2052	2004	2004	2004	2004
sample3458	2004	2004	2003	2003
sample3202	2004	2004	2001	2001
sample3714	2004	2004	2002	2002
sample2574	2004	2004	2004	2004
sample2331	2004	2004	2004	2004
sample2843	2004	2004	2002	2002
sample2053	2004	2004	2004	2004
sample2575	2004	2004	2004	2004
sample2947	2004	2004	2004	2004
sample2332	2004	2004	2004	2004
sample2844	2004	2004	2004	2004
sample3715	2004	2004	2002	2002
sample3203	2004	2004	2003	2003
sample3459	2004	2004	2001	2001
sample2576	2004	2004	2003	2003
sample2333	2004	2004	2004	2004
sample2054	2004	2004	2003	2003
sample2845	2004	2004	2003	2003
sample2948	2004	2004	2004	2004
sample3716	2004	2004	2001	2001
sample3204	2004	2004	2002	2002
sample2334	2004	2004	2003	2003
sample2577	2004	2004	2004	2004
sample3460	2004	2004	2003	2003
sample2055	2004	2004	2004	2004
sample2846	2004	2004	2001	2001
sample2949	2004	2004	2001	2001
sample3717	2004	2004	2004	2004
sample2335	2004	2004	2002	2002
sample2578	2004	2004	2001	2001
sample3205	2004	2004	2003	2003
sample2847	2004	2004	2002	2002
sample2056	2004	2004	2003	2003
sample3461	2004	2004	2004	2004
sample2336	2004	2004	2004	2004
sample2579	2004	2004	2004	2004
sample2848	2004	2004	2001	2001
sample2950	2004	2004	2002	2002
sample3718	2004	2004	2003	2003
sample2057	2004	2004	2004	2004
sample3206	2004	2004	2002	2002
sample2337	2004	2004	1998	1998
sample2580	2004	2004	2003	2003
sample2849	2004	2004	2003	2003
sample2058	2004	2004	2004	2004
sample3719	2004	2004	2004	2004
sample2951	2004	2004	2003	2003
sample3462	2004	2004	2004	2004
sample3207	2004	2004	2004	2004
sample2338	2004	2004	2001	2001
sample2581	2004	2004	2004	2004
sample2850	2004	2004	2004	2004
sample2059	2004	2004	2004	2004
sample2339	2004	2004	2004	2004
sample2582	2004	2004	2003	2003
sample2851	2004	2004	2004	2004
sample3720	2004	2004	2003	2003
sample2952	2004	2004	2004	2004
sample3208	2004	2004	2004	2004
sample3463	2004	2004	2004	2004
sample2060	2004	2004	2004	2004
sample2340	2004	2004	2002	2002
sample2852	2004	2004	2000	2000
sample2583	2004	2004	2004	2004
sample3721	2004	2004	2002	2002
sample2953	2004	2004	2002	2002
sample2061	2004	2004	2004	2004
sample3209	2004	2004	2002	2002
sample2853	2004	2004	2002	2002
sample2341	2004	2004	2004	2004
sample2584	2004	2004	2002	2002
sample3464	2004	2004	2004	2004
sample3722	2004	2004	2003	2003
sample2854	2004	2004	2001	2001
sample2342	2004	2004	2004	2004
sample2062	2004	2004	2004	2004
sample2954	2004	2004	2004	2004
sample2585	2004	2004	2004	2004
sample3210	2004	2004	2004	2004
sample3465	2004	2004	2004	2004
sample2855	2004	2004	2002	2002
sample2343	2004	2004	2004	2004
sample2063	2004	2004	2002	2002
sample2586	2004	2004	2003	2003
sample3723	2004	2004	2002	2002
sample2955	2004	2004	2003	2003
sample3211	2004	2004	2003	2003
sample2856	2004	2004	2004	2004
sample2344	2004	2004	2004	2004
sample2064	2004	2004	2004	2004
sample3466	2004	2004	2003	2003
sample2587	2004	2004	2004	2004
sample3724	2004	2004	2003	2003
sample2857	2004	2004	2004	2004
sample2345	2004	2004	2003	2003
sample2956	2004	2004	2003	2003
sample3212	2004	2004	2003	2003
sample2065	2004	2004	2003	2003
sample2588	2004	2004	2003	2003
sample3467	2004	2004	2003	2003
sample2346	2004	2004	2004	2004
sample2858	2004	2004	2003	2003
sample3725	2004	2004	2004	2004
sample2066	2004	2004	2004	2004
sample2589	2004	2004	2003	2003
sample2957	2004	2004	2003	2003
sample3213	2004	2004	2001	2001
sample2347	2004	2004	2003	2003
sample2859	2004	2004	2002	2002
sample2067	2004	2004	2003	2003
sample3468	2004	2004	2004	2004
sample2590	2004	2004	2004	2004
sample3726	2004	2004	2004	2004
sample2958	2004	2004	2003	2003
sample2860	2004	2004	2004	2004
sample2348	2004	2004	2002	2002
sample3214	2004	2004	2004	2004
sample2068	2004	2004	2002	2002
sample2591	2004	2004	2004	2004
sample2861	2004	2004	2002	2002
sample2349	2004	2004	2004	2004
sample3727	2004	2004	2003	2003
sample3469	2004	2004	2003	2003
sample2069	2004	2004	2003	2003
sample2959	2004	2004	2004	2004
sample3215	2004	2004	2002	2002
sample2592	2004	2004	2002	2002
sample2862	2004	2004	2004	2004
sample2350	2004	2004	2002	2002
sample2070	2004	2004	2001	2001
sample3728	2004	2004	2003	2003
sample2593	2004	2004	2003	2003
sample3470	2004	2004	2003	2003
sample2960	2004	2004	2004	2004
sample2863	2004	2004	2004	2004
sample2351	2004	2004	2003	2003
sample3216	2004	2004	2002	2002
sample2071	2004	2004	2004	2004
sample2594	2004	2004	2004	2004
sample2864	2004	2004	2004	2004
sample2352	2004	2004	2003	2003
sample3729	2004	2004	2004	2004
sample3471	2004	2004	2002	2002
sample2961	2004	2004	2004	2004
sample2072	2004	2004	2004	2004
sample3217	2004	2004	2000	2000
sample2595	2004	2004	2003	2003
sample2865	2004	2004	2004	2004
sample2353	2004	2004	2004	2004
sample3730	2004	2004	2003	2003
sample2073	2004	2004	2002	2002
sample2962	2004	2004	2002	2002
sample3472	2004	2004	2002	2002
sample2866	2004	2004	2002	2002
sample2596	2004	2004	2004	2004
sample2354	2004	2004	2004	2004
sample3218	2004	2004	2004	2004
sample2074	2004	2004	2003	2003
sample2355	2004	2004	2004	2004
sample3731	2004	2004	2004	2004
sample2867	2004	2004	2002	2002
sample2597	2004	2004	2004	2004
sample2963	2004	2004	2004	2004
sample3219	2004	2004	2002	2002
sample3473	2004	2004	2003	2003
sample2075	2004	2004	2004	2004
sample2356	2004	2004	2003	2003
sample2868	2004	2004	2003	2003
sample2598	2004	2004	2004	2004
sample3732	2004	2004	2004	2004
sample2964	2004	2004	2002	2002
sample2076	2004	2004	2004	2004
sample2357	2004	2004	2003	2003
sample3220	2004	2004	2004	2004
sample2869	2004	2004	2003	2003
sample2599	2004	2004	2001	2001
sample3474	2004	2004	2003	2003
sample3733	2004	2004	2003	2003
sample2358	2004	2004	2004	2004
sample2870	2004	2004	2003	2003
sample2077	2004	2004	2003	2003
sample2965	2004	2004	2003	2003
sample2600	2004	2004	2002	2002
sample3221	2004	2004	2003	2003
sample2359	2004	2004	2003	2003
sample2871	2004	2004	2000	2000
sample3475	2004	2004	2004	2004
sample2078	2004	2004	2003	2003
sample3734	2004	2004	2004	2004
sample2601	2004	2004	2004	2004
sample2966	2004	2004	2004	2004
sample2360	2004	2004	2003	2003
sample2872	2004	2004	2004	2004
sample3222	2004	2004	2003	2003
sample2079	2004	2004	2001	2001
sample2602	2004	2004	2003	2003
sample3735	2004	2004	2004	2004
sample3476	2004	2004	2004	2004
sample2361	2004	2004	2003	2003
sample2873	2004	2004	2004	2004
sample2967	2004	2004	2003	2003
sample2080	2004	2004	2004	2004
sample3223	2004	2004	2003	2003
sample2603	2004	2004	2004	2004
sample2362	2004	2004	2004	2004
sample3736	2004	2004	2004	2004
sample2874	2004	2004	2004	2004
sample3477	2004	2004	2004	2004
sample2081	2004	2004	2001	2001
sample2968	2004	2004	2003	2003
sample2604	2004	2004	2003	2003
sample2363	2004	2004	2003	2003
sample2875	2004	2004	2003	2003
sample3224	2004	2004	2003	2003
sample3737	2004	2004	2004	2004
sample2082	2004	2004	2004	2004
sample2364	2004	2004	2001	2001
sample2605	2004	2004	2004	2004
sample3478	2004	2004	2003	2003
sample2876	2004	2004	2003	2003
sample2969	2004	2004	2003	2003
sample3225	2004	2004	2002	2002
sample2083	2004	2004	2002	2002
sample3738	2004	2004	2002	2002
sample2365	2004	2004	2003	2003
sample2877	2004	2004	2003	2003
sample2606	2004	2004	2003	2003
sample2970	2004	2004	2002	2002
sample2084	2004	2004	2004	2004
sample3479	2004	2004	2003	2003
